Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,TP_SIGNAL_NAME,
5VIN,WECO_110-M-221/2,WECO_110-M-221/2,WECO-PHOENIXTERM-2-POS,,,,,,,
A1,ARDUINO_PRO_NANO,DIL32,DIL32,Dual In Line,,,,,,
AC-IN,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN 1.5/ 2-5.08 Printklemme,,MKDSN 1.5/2-5.08,1792903,30M2397,,
C1,10u,CPOL-EUC/6032-28R,C/6032-28R,POLARIZED CAPACITOR. European symbol,,,,,,
C2,10u,CPOL-EUC/6032-28R,C/6032-28R,POLARIZED CAPACITOR. European symbol,,,,,,
C3,100n,C-EUC0805,C0805,CAPACITOR. European symbol,,,,,,
C4,100n,C-EUC0805,C0805,CAPACITOR. European symbol,,,,,,
C5,10n,C-EUC0805,C0805,CAPACITOR. European symbol,,,,,,
C6,10n,C-EUC0805,C0805,CAPACITOR. European symbol,,,,,,
C7,100n,C-EU150-054X183,C150-054X183,CAPACITOR. European symbol,,,,,,
D1,,DIODESOD-123,SOD-123,Diode,,,,,,
D2,,DIODESOD-123,SOD-123,Diode,,,,,,
D3,,DIODESOD-123,SOD-123,Diode,,,,,,
D4,,DIODESOD-123,SOD-123,Diode,,,,,,
D5,,DIODESOD-123,SOD-123,Diode,,,,,,
ENCODER,,PINHD-1X5,1X05,PIN HEADER,,,,,,
FAN,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN 1.5/ 2-5.08 Printklemme,,MKDSN 1.5/2-5.08,1792903,30M2397,,
FANOUT,WECO_110-M-221/2,WECO_110-M-221/2,WECO-PHOENIXTERM-2-POS,,,,,,,
HTR,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN 1.5/ 2-5.08 Printklemme,,MKDSN 1.5/2-5.08,1792903,30M2397,,
HTROUT,WECO_110-M-221/2,WECO_110-M-221/2,WECO-PHOENIXTERM-2-POS,,,,,,,
IC1,MAX31855,MAX31855,SOIC8,,,,,,,
IC2,MAX31855,MAX31855,SOIC8,,,,,,,
JP1,,PINHD-1X2,1X02,PIN HEADER,,,,,,
JP2,,PINHD-1X2,1X02,PIN HEADER,,,,,,
JP3,,PINHD-1X2,1X02,PIN HEADER,,,,,,
JP4,,PINHD-1X4RND,1X04_RND,PIN HEADER,,,,,,
JP5,PRO_MINI_MICRO,PINHD-1X4RND,1X04_RND,PIN HEADER,,,,,,
JP6,PRO_NANO,PINHD-1X4RND,1X04_RND,PIN HEADER,,,,,,
LCD,,PINHD-1X12,1X12,PIN HEADER,,,,,,
OC1,PC817,PC817,DIL04,SHARP OPTO COUPLER,,PC817X4J000F,9707727,97K7059,,
R1,10k,R-EU_R0805,R0805,RESISTOR. European symbol,,,,,,
R2,10k,R-EU_R0805,R0805,RESISTOR. European symbol,,,,,,
R3,10k,R-EU_R0805,R0805,RESISTOR. European symbol,,,,,,
R4,4K7,R-EU_R0805,R0805,RESISTOR. European symbol,,,,,,
R5,4K7,R-EU_R0805,R0805,RESISTOR. European symbol,,,,,,
R6,680,R-EU_R0805,R0805,RESISTOR. European symbol,,,,,,
R7,330,R-EU_R0805,R0805,RESISTOR. European symbol,,,,,,
R8,330,R-EU_R0805,R0805,RESISTOR. European symbol,,,,,,
R9,47k,R-EU_0207/5V,0207/5V,RESISTOR. European symbol,,,,,,
R10,47k,R-EU_0207/5V,0207/5V,RESISTOR. European symbol,,,,,,
RN1,220,RESISTOR_ARRAY_4,RN8P-4R-CRA06S,4 Resistor Array 0603,,,,,,
TC1,WECO_110-M-221/2,WECO_110-M-221/2,WECO-PHOENIXTERM-2-POS,,,,,,,
TC2,WECO_110-M-221/2,WECO_110-M-221/2,WECO-PHOENIXTERM-2-POS,,,,,,,
TP1,TPTP08R,TPTP08R,TP08R,Test pad,,,,,,
VR1,LP2950ACZ-3.3,LP2950ACZ-3.3,TO92,Source: http://cache.national.com/ds/LP/LP2950.pdf,,,,,,
